GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2006,2006,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,5.8,5.83681,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2006,2006,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,7,6.99327,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2007,2007,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,6.2,6.15353,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2007,2007,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,5.6,5.61508,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2007,2007,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,6.7,6.66537,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,5.9,5.89996,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,5.4,5.38207,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,6.4,6.39398,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2009,2009,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,5.7,5.67225,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2009,2009,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,5.2,5.17407,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2009,2009,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,6.1,6.14603,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,5.5,5.47218,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,5,4.98964,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,5.9,5.93115,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2011,2011,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,5.3,5.30335,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2011,2011,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,4.8,4.84188,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2011,2011,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,5.7,5.74201,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2012,2012,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,5.2,5.16426,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2012,2012,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,4.7,4.71276,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2012,2012,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,5.6,5.59309,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2013,2013,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,5.1,5.05234,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2013,2013,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,4.6,4.60632,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2013,2013,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,5.5,5.47505,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2014,2014,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,5,4.95762,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2014,2014,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,4.5,4.51710,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2014,2014,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,5.4,5.37650,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,4.9,4.88194,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,4.5,4.45208,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,5.3,5.29063,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,4.8,4.81525,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,4.4,4.38841,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,5.2,5.21835,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2017,2017,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,4.7,4.74809,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2017,2017,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,4.3,4.32335,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2017,2017,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,5.2,5.15036,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2018,2018,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,4.7,4.66707,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2018,2018,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,4.3,4.25121,,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/7,,,,PUBLISHED,Published,,2018,2018,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,5.1,5.06467,,,,,
MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/17,,,,PUBLISHED,Published,,2000,2000,,EUR,Europe,,,,,HRV,Croatia,,,,,3.9 [3.8-3.9],3.90000,3.80000,3.90000,,,
MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/17,,,,PUBLISHED,Published,,2001,2001,,EUR,Europe,,,,,HRV,Croatia,,,,,3.3 [3.3-3.4],3.30000,3.30000,3.40000,,,
MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/17,,,,PUBLISHED,Published,,2002,2002,,EUR,Europe,,,,,HRV,Croatia,,,,,4.2 [4.2-4.3],4.20000,4.20000,4.30000,,,
MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/17,,,,PUBLISHED,Published,,2003,2003,,EUR,Europe,,,,,HRV,Croatia,,,,,3.7 [3.7-3.7],3.70000,3.70000,3.70000,,,
MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/17,,,,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,,,HRV,Croatia,,,,,3.7 [3.7-3.8],3.70000,3.70000,3.80000,,,
MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/17,,,,PUBLISHED,Published,,2005,2005,,EUR,Europe,,,,,HRV,Croatia,,,,,2.7 [2.7-2.7],2.70000,2.70000,2.70000,,,
MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/17,,,,PUBLISHED,Published,,2006,2006,,EUR,Europe,,,,,HRV,Croatia,,,,,3.3 [3.3-3.3],3.30000,3.30000,3.30000,,,
MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/17,,,,PUBLISHED,Published,,2007,2007,,EUR,Europe,,,,,HRV,Croatia,,,,,2.3 [2.3-2.3],2.30000,2.30000,2.30000,,,
MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/17,,,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,,,HRV,Croatia,,,,,2.3 [2.3-2.4],2.30000,2.30000,2.40000,,,
MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/17,,,,PUBLISHED,Published,,2009,2009,,EUR,Europe,,,,,HRV,Croatia,,,,,2.8 [2.8-2.8],2.80000,2.80000,2.80000,,,
MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/17,,,,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,,,HRV,Croatia,,,,,1.9 [1.9-1.9],1.90000,1.90000,1.90000,,,
MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/17,,,,PUBLISHED,Published,,2011,2011,,EUR,Europe,,,,,HRV,Croatia,,,,,1.5 [1.5-1.5],1.50000,1.50000,1.50000,,,
MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/17,,,,PUBLISHED,Published,,2012,2012,,EUR,Europe,,,,,HRV,Croatia,,,,,1.4 [1.4-1.4],1.40000,1.40000,1.40000,,,
MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/17,,,,PUBLISHED,Published,,2013,2013,,EUR,Europe,,,,,HRV,Croatia,,,,,1.3 [1.2-1.3],1.30000,1.20000,1.30000,,,
MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/17,,,,PUBLISHED,Published,,2014,2014,,EUR,Europe,,,,,HRV,Croatia,,,,,0.95 [0.94-0.95],0.95000,0.94000,0.95000,,,
MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/17,,,,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,,,HRV,Croatia,,,,,1.1 [1.1-1.1],1.10000,1.10000,1.10000,,,
MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/17,,,,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,,,HRV,Croatia,,,,,1.4 [1.4-1.4],1.40000,1.40000,1.40000,,,
MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/17,,,,PUBLISHED,Published,,2017,2017,,EUR,Europe,,,,,HRV,Croatia,,,,,0.97 [0.97-0.98],0.97000,0.97000,0.98000,,,
MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/17,,,,PUBLISHED,Published,,2018,2018,,EUR,Europe,,,,,HRV,Croatia,,,,,0.83 [0.82-0.83],0.83000,0.82000,0.83000,,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/20,,,,PUBLISHED,Published,,2000,2000,,EUR,Europe,,,,,HRV,Croatia,,,,,42 [36-49],42.00000,36.00000,49.00000,,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/20,,,,PUBLISHED,Published,,2001,2001,,EUR,Europe,,,,,HRV,Croatia,,,,,36 [31-41],36.00000,31.00000,41.00000,,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/20,,,,PUBLISHED,Published,,2002,2002,,EUR,Europe,,,,,HRV,Croatia,,,,,38 [32-44],38.00000,32.00000,44.00000,,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/20,,,,PUBLISHED,Published,,2003,2003,,EUR,Europe,,,,,HRV,Croatia,,,,,36 [31-42],36.00000,31.00000,42.00000,,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/20,,,,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,,,HRV,Croatia,,,,,31 [26-35],31.00000,26.00000,35.00000,,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/20,,,,PUBLISHED,Published,,2005,2005,,EUR,Europe,,,,,HRV,Croatia,,,,,28 [24-32],28.00000,24.00000,32.00000,,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/20,,,,PUBLISHED,Published,,2006,2006,,EUR,Europe,,,,,HRV,Croatia,,,,,27 [23-31],27.00000,23.00000,31.00000,,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/20,,,,PUBLISHED,Published,,2007,2007,,EUR,Europe,,,,,HRV,Croatia,,,,,25 [21-29],25.00000,21.00000,29.00000,,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/20,,,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,,,HRV,Croatia,,,,,26 [22-30],26.00000,22.00000,30.00000,,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/20,,,,PUBLISHED,Published,,2009,2009,,EUR,Europe,,,,,HRV,Croatia,,,,,22 [19-25],22.00000,19.00000,25.00000,,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/20,,,,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,,,HRV,Croatia,,,,,18 [16-21],18.00000,16.00000,21.00000,,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/20,,,,PUBLISHED,Published,,2011,2011,,EUR,Europe,,,,,HRV,Croatia,,,,,17 [14-19],17.00000,14.00000,19.00000,,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/20,,,,PUBLISHED,Published,,2012,2012,,EUR,Europe,,,,,HRV,Croatia,,,,,14 [12-17],14.00000,12.00000,17.00000,,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/20,,,,PUBLISHED,Published,,2013,2013,,EUR,Europe,,,,,HRV,Croatia,,,,,14 [12-16],14.00000,12.00000,16.00000,,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/20,,,,PUBLISHED,Published,,2014,2014,,EUR,Europe,,,,,HRV,Croatia,,,,,13 [11-15],13.00000,11.00000,15.00000,,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/20,,,,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,,,HRV,Croatia,,,,,13 [11-15],13.00000,11.00000,15.00000,,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/20,,,,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,,,HRV,Croatia,,,,,12 [10-14],12.00000,10.00000,14.00000,,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/20,,,,PUBLISHED,Published,,2017,2017,,EUR,Europe,,,,,HRV,Croatia,,,,,10 [8.6-12],10.00000,8.60000,12.00000,,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/20,,,,PUBLISHED,Published,,2018,2018,,EUR,Europe,,,,,HRV,Croatia,,,,,8.4 [7.2-9.7],8.40000,7.20000,9.70000,,,
MDG_0000000023,Prevalence of tuberculosis (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/23,,,,PUBLISHED,Published,,1990,1990,,EUR,Europe,,WB_HI,High-income,,HRV,Croatia,,,,,72 [30-132],72.00000,30.00000,132.00000,,,
MDG_0000000023,Prevalence of tuberculosis (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/23,,,,PUBLISHED,Published,,1991,1991,,EUR,Europe,,WB_HI,High-income,,HRV,Croatia,,,,,73 [30-133],73.00000,30.00000,133.00000,,,
MDG_0000000023,Prevalence of tuberculosis (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/23,,,,PUBLISHED,Published,,1992,1992,,EUR,Europe,,WB_HI,High-income,,HRV,Croatia,,,,,72 [30-132],72.00000,30.00000,132.00000,,,
MDG_0000000023,Prevalence of tuberculosis (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/23,,,,PUBLISHED,Published,,1993,1993,,EUR,Europe,,WB_HI,High-income,,HRV,Croatia,,,,,72 [30-131],72.00000,30.00000,131.00000,,,
MDG_0000000023,Prevalence of tuberculosis (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/23,,,,PUBLISHED,Published,,1994,1994,,EUR,Europe,,WB_HI,High-income,,HRV,Croatia,,,,,71 [30-129],71.00000,30.00000,129.00000,,,
MDG_0000000023,Prevalence of tuberculosis (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/23,,,,PUBLISHED,Published,,1995,1995,,EUR,Europe,,WB_HI,High-income,,HRV,Croatia,,,,,69 [29-127],69.00000,29.00000,127.00000,,,
MDG_0000000023,Prevalence of tuberculosis (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/23,,,,PUBLISHED,Published,,1996,1996,,EUR,Europe,,WB_HI,High-income,,HRV,Croatia,,,,,68 [28-124],68.00000,28.00000,124.00000,,,
MDG_0000000023,Prevalence of tuberculosis (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/23,,,,PUBLISHED,Published,,1997,1997,,EUR,Europe,,WB_HI,High-income,,HRV,Croatia,,,,,65 [27-120],65.00000,27.00000,120.00000,,,
MDG_0000000023,Prevalence of tuberculosis (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/23,,,,PUBLISHED,Published,,1998,1998,,EUR,Europe,,WB_HI,High-income,,HRV,Croatia,,,,,63 [26-115],63.00000,26.00000,115.00000,,,
MDG_0000000023,Prevalence of tuberculosis (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/23,,,,PUBLISHED,Published,,1999,1999,,EUR,Europe,,WB_HI,High-income,,HRV,Croatia,,,,,60 [25-109],60.00000,25.00000,109.00000,,,
MDG_0000000023,Prevalence of tuberculosis (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/23,,,,PUBLISHED,Published,,2000,2000,,EUR,Europe,,WB_HI,High-income,,HRV,Croatia,,,,,56 [23-102],56.00000,23.00000,102.00000,,,
MDG_0000000023,Prevalence of tuberculosis (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/23,,,,PUBLISHED,Published,,2001,2001,,EUR,Europe,,WB_HI,High-income,,HRV,Croatia,,,,,51 [22-94],51.00000,22.00000,94.00000,,,
MDG_0000000023,Prevalence of tuberculosis (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/23,,,,PUBLISHED,Published,,2002,2002,,EUR,Europe,,WB_HI,High-income,,HRV,Croatia,,,,,47 [20-86],47.00000,20.00000,86.00000,,,
MDG_0000000023,Prevalence of tuberculosis (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/23,,,,PUBLISHED,Published,,2003,2003,,EUR,Europe,,WB_HI,High-income,,HRV,Croatia,,,,,44 [18-80],44.00000,18.00000,80.00000,,,
MDG_0000000023,Prevalence of tuberculosis (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/23,,,,PUBLISHED,Published,,2004,2004,,EUR,Europe,,WB_HI,High-income,,HRV,Croatia,,,,,41 [17-74],41.00000,17.00000,74.00000,,,
MDG_0000000023,Prevalence of tuberculosis (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/23,,,,PUBLISHED,Published,,2005,2005,,EUR,Europe,,WB_HI,High-income,,HRV,Croatia,,,,,38 [16-69],38.00000,16.00000,69.00000,,,
MDG_0000000023,Prevalence of tuberculosis (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/23,,,,PUBLISHED,Published,,2006,2006,,EUR,Europe,,WB_HI,High-income,,HRV,Croatia,,,,,35 [15-64],35.00000,15.00000,64.00000,,,
MDG_0000000023,Prevalence of tuberculosis (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/23,,,,PUBLISHED,Published,,2007,2007,,EUR,Europe,,WB_HI,High-income,,HRV,Croatia,,,,,32 [13-59],32.00000,13.00000,59.00000,,,
MDG_0000000023,Prevalence of tuberculosis (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/23,,,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,WB_HI,High-income,,HRV,Croatia,,,,,30 [12-54],30.00000,12.00000,54.00000,,,
MDG_0000000023,Prevalence of tuberculosis (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/23,,,,PUBLISHED,Published,,2009,2009,,EUR,Europe,,WB_HI,High-income,,HRV,Croatia,,,,,27 [11-50],27.00000,11.00000,50.00000,,,
MDG_0000000023,Prevalence of tuberculosis (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/23,,,,PUBLISHED,Published,,2010,2010,,EUR,Europe,,WB_HI,High-income,,HRV,Croatia,,,,,25 [10 - 45],25.00000,10.00000,45.00000,,,
MDG_0000000023,Prevalence of tuberculosis (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/23,,,,PUBLISHED,Published,,2011,2011,,EUR,Europe,,WB_HI,High-income,,HRV,Croatia,,,,,22.0 [9.3-41.0],22.00000,9.30000,41.00000,,,
